Title,Date
"Arcane: Season 2: Heavy Is the Crown","6/14/25"
"Arcane: Season 2: Watch It All Burn","6/13/25"
"Arcane: Season 1: Welcome to the Playground","6/2/25"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","5/28/25"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","5/21/25"
"Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt","5/9/25"
"The Queen's Gambit: Episode 7: End Game","4/30/25"
"The Queen's Gambit: Episode 1: Openings","4/26/25"
"Wednesday: Season 1: Wednesday's Child Is Full of Woe","4/12/25"
"Klaus","12/24/24"
"The Irishman","11/3/24"
"Roma","10/19/24"
"Marriage Story","9/7/24"
"Society of the Snow","8/16/24"
